date,CNHUSD_open,CNHUSD_high,CNHUSD_low,CNHUSD_close,CNHUSD_adjClose,CNHUSD_traded_volume,CNHUSD_unadjusted_traded_Volume,CNHUSD_change,CNHUSD_changePercent,CNHUSD_vwap,CNHUSD_label,CNHUSD_changeOverTime
11-11-2021,0.15585,0.15623,0.15585,0.15604,0.15604,0,0,0.00019,0.12191,0.15599,"November 11, 21",0.0012191
10-11-2021,0.15608,0.1562,0.15589,0.15589,0.15589,0,0,-0.00019,-0.12173,0.15601,"November 10, 21",-0.0012173
09-11-2021,0.15613,0.15618,0.15609,0.15609,0.15609,0,0,-4e-05,-0.02561968,0.15612,"November 09, 21",-0.0002561968
08-11-2021,0.15588,0.15616,0.15588,0.1561,0.1561,0,0,0.00022,0.14113,0.15601,"November 08, 21",0.0014113
05-11-2021,0.15594,0.15599,0.15594,0.15599,0.15599,0,0,5e-05,0.03206361,0.15597,"November 05, 21",0.0003206361
04-11-2021,0.15601,0.15607,0.15591,0.15591,0.15591,0,0,-0.0001,-0.06409846,0.15598,"November 04, 21",-0.0006409846
03-11-2021,0.15583,0.15604,0.15583,0.156,0.156,0,0,0.00017,0.10909,0.15593,"November 03, 21",0.0010909
02-11-2021,0.15595,0.15602,0.15583,0.15583,0.15583,0,0,-0.00012,-0.07694774,0.15591,"November 02, 21",-0.0007694774
01-11-2021,0.15572,0.15602,0.15572,0.15594,0.15594,0,0,0.00022,0.14128,0.15585,"November 01, 21",0.0014128
29-10-2021,0.15612,0.15627,0.15572,0.15572,0.15572,0,0,-0.0004,-0.25621,0.15596,"October 29, 21",-0.0025621
28-10-2021,0.15601,0.15614,0.15601,0.15611,0.15611,0,0,0.0001,0.06409846,0.15607,"October 28, 21",0.0006409846
27-10-2021,0.15637,0.15641,0.15603,0.15603,0.15603,0,0,-0.00034,-0.21743,0.15621,"October 27, 21",-0.0021743
26-10-2021,0.15627,0.15645,0.15627,0.15636,0.15636,0,0,9e-05,0.05759263,0.15634,"October 26, 21",0.0005759263
25-10-2021,0.15625,0.15647,0.15625,0.15628,0.15628,0,0,3e-05,0.0192,0.15631,"October 25, 21",0.000192
